단어,카테고리,등급,뜻풀이
그라운드,일상,2,축구장이나 야구장 같이 넓은 마당에서 하는 경기의 운동장.
그래프,일상,2,"수량이나 수치의 변화를 직선, 곡선, 점선, 막대 등으로 나타낸 그림."
그룹,일상,2,어떤 일을 함께 하는 사람들의 모임.
그린벨트,경제,2,개발을 제한하여 자연을 보호하는 녹지 구역
그림자,일상,2,물체가 빛을 가려서 그 물체의 뒷면에 나타나는 검은 그늘.
그저께,일상,1,어제의 전날. 이틀 전.
극빈층,경제,3,매우 가난한 계층.
근검절약,경제,3,부지런하고 돈이나 물건을 아껴 씀.
근로,경제,3,부지런히 일함.
근로자,경제,2,정해진 시간에 육체적인 일이나 정신적인 일을 하고 돈을 받는 사람.
근묵자흑,고사성어,4,먹을 가까이하면 검어진다
근육,일상,2,사람이나 동물의 몸을 움직이게 하는 힘줄과 살.
근저당,경제,3,미래의 불확정 채무를 담보하기 위한 저당권
금괴,경제,3,일정한 형태로 만든 금덩어리.
금리,경제,3,금융 기관에서 빌린 돈이나 예금에 붙는 이자 또는 그 비율.
금액,경제,2,돈의 액수.
금연,일상,2,담배를 피우는 것을 금지함.
금융,경제,2,"경제에서, 자금의 수요와 공급을 조정하고 관리하는 활동."
금융가,경제,3,자금을 관리하는 활동이 이루어지는 지역이나 사회.
금융계,경제,3,금융과 관련된 일을 하는 사람들의 활동 분야.
금의환향,고사성어,3,비단 옷을 입고 고향으로 돌아와 성공을 과시한다
금일봉,경제,3,상금이나 기부금 등으로 금액을 알리지 않고 봉투에 넣어서 주는 돈.
금주,일상,2,술을 마시지 못하게 함.
금치산자,경제,3,정신적 제약으로 사무 처리 능력이 부족한 사람
금품,경제,3,돈이나 돈이 되는 물건.
급등,경제,3,물건값이나 주식의 가격 등이 갑자기 오름.
급락,경제,3,물건값이나 주식의 가격 등이 갑자기 떨어짐.
급료,경제,3,일정한 기간 동안 일한 대가로 받는 돈.
급매,경제,3,물건이나 부동산 등을 급히 팖.
급상승,경제,3,"기온이나 가격, 비율 등이 갑자기 빠르게 오름."
급식비,경제,3,기관에서 공급하는 식사를 먹기 위해 내는 돈.
급여,경제,3,일한 대가로 받는 돈.
급여액,경제,3,일한 대가로 받는 돈의 액수.
급전,경제,3,급하게 쓸 돈.
급행료,경제,3,급행열차에 덧붙는 일반 요금 외의 추가 요금.
급행열차,일상,2,빠른 속도로 달리며 큰 역에만 서는 열차.
기간산업,경제,3,"철강, 전기, 석유 등 한 나라 산업의 기초가 되는 산업."
기금,경제,3,"공공의 목적이나 사업, 행사 등에 쓰기 위해 모은 돈."
기념,일상,2,훌륭한 인물이나 특별한 일 등을 오래도록 잊지 않고 마음에 간직함.
기대,일상,2,어떤 일이 이루어지기를 바라며 기다림.
기름값,경제,3,휘발유 등의 기름을 사는 데 드는 비용.
기말고사,일상,2,한 학기의 마지막에 보는 시험.
기본요금,경제,2,어떤 시설이나 서비스를 이용하기 위해 반드시 내야 하는 최소한의 요금.
기부,경제,2,"다른 사람이나 기관, 단체 등을 도울 목적으로 돈이나 재산을 대가 없이 내놓음."
기부금,경제,3,"다른 사람이나 기관, 단체 등을 도울 목적으로 대가 없이 내놓는 돈이나 재산."
기부채납,경제,3,민간이 공공시설을 지어 정부에 무상으로 주는 것
기사,일상,2,신문이나 잡지 등에서 어떠한 사실을 알리는 글.
기상대,과학,3,"날씨를 관측하거나 조사, 연구하는 기관."
기성품,경제,3,"정해진 모양이나 크기, 품질 등에 맞추어 대량으로 미리 만들어 놓고 파는 물건."
기숙사,일상,1,학교나 회사에서 학생이나 직원들이 자고 식사하는 등 생활을 할 수 있도록 제공하는 시설.
기억력,일상,2,"이전의 모습, 사실, 지식, 경험 등을 마음이나 생각 속에 간직해 두고 생각해 내는 능력."
기업가,경제,2,"이윤을 목적으로 생산, 판매, 서비스 등의 사업을 조직하고 경영하는 사람."
기업공개,경제,3,외부 투자자가 주식을 살 수 있도록 기업을 공개함
기업체,경제,3,"이윤을 목적으로 생산, 판매, 서비스 등의 사업을 하는 조직."
기준금리,경제,3,국가 경제의 중심이 되는 금리
기지개,일상,2,두 팔을 벌려 위로 뻗으면서 몸과 다리를 쭉 펴는 일.
기체,과학,2,분자 간 인력이 약해 형태가 일정하지 않은 상태
기초대사량,과학,3,생명 유지에 필요한 최소한의 에너지
기화,과학,2,액체가 기체로 변함.
기화열,과학,3,액체가 기체로 변할 때 흡수하는 열량
기회비용,경제,3,어떤 행위를 하기 위해 포기해야 하는 다른 기회의 최대 가치를 돈으로 계산한 비용.
긴축,경제,3,"가정, 기업, 정부 등의 지출을 줄임."
김장철,일상,2,겨울 동안 먹을 김치를 한꺼번에 많이 만드는 시기.
꼬막,일상,2,껍데기에 굵은 부챗살 무늬가 있는 작은 조개.
꽃게,일상,2,손바닥 크기의 딱딱한 껍질로 싸인 몸통 양 옆으로 다리 8개와 집게발 2개가 붙어 있는 바다 동물.
꽃봉오리,일상,2,아직 피지 않은 꽃.
꾸러미,일상,2,하나로 뭉쳐서 싼 물건.
끓는점,과학,3,액체가 끓기 시작하는 온도.
나비,일상,2,가는 몸통에 예쁜 무늬가 있는 넓적한 날개를 가지고 있고 긴 대롱으로 꿀을 빨아 먹으며 사는 곤충.
나스닥,경제,3,미국의 기술주 중심 주식시장
나침반,과학,2,지구 자기장을 이용하여 방향을 알려주는 도구
나트륨,과학,3,"바닷물, 소금 등에 많이 들어 있는 흰색의 금속 원소."
나프탈렌,과학,2,주로 옷을 갉아 먹는 벌레를 막기 위해 쓰는 화학 약품.
낙수효과,경제,3,대기업의 성장이 경제 전체로 퍼지는 효과
낙찰,경제,3,경매나 경쟁 입찰에서 물건을 사거나 일을 하게 되는 사람이나 기관이 결정됨.
낙찰가,경제,3,경매나 경쟁 입찰에서 물건이나 일이 어떤 사람에게 돌아가도록 결정된 가격.
낙찰자,경제,3,경매나 경쟁 입찰에서 물건을 사거나 일을 하게 된 사람 또는 단체.
낚시,일상,1,물고기를 낚는 데 쓰는 끝이 뾰족한 작은 도구.
난로,일상,2,"가스, 석유, 장작 등을 연료로 하거나 전기를 이용하여 실내를 따뜻하게 하는 기구."
날씨,일상,1,"그날그날의 기온이나 공기 중에 비, 구름, 바람, 안개 등이 나타나는 상태."
날품,경제,3,하루 단위로 일을 하고 대가를 받는 일.
날품팔이,경제,3,일정한 직장이 없이 일거리가 있는 날에만 하루치의 돈을 받고 하는 노동. 또는 그런 일을 하는 사람.
납부,경제,3,세금이나 등록금 등을 국가 또는 공공 기관에 냄.
납부금,경제,3,"세금, 등록금, 보험금 등과 같이 관계 기관에 내는 돈."
납세,경제,3,국가 또는 공공 기관에 세금을 냄.
납세자,경제,3,국가나 공공 기관에 세금을 내는 개인 또는 단체.
납입,경제,3,세금이나 공과금 등을 국가나 공공 기관에 냄.
납입금,경제,3,"세금, 등록금, 보험금 등과 같이 관계 기관에 내는 돈."
납품,경제,3,주문에 따라 물건을 가져다줌. 또는 그 물건.
낭비,경제,2,"돈, 시간, 물건 등을 헛되이 함부로 씀."
내수,경제,3,국내의 수요.
내역,경제,3,물품이나 경비 등의 세부적인 내용.
내일모레,일상,1,내일의 다음 날.
내장객,경제,3,물건이나 서비스를 판매하는 곳에 온 손님.
낼모레,일상,2,내일의 다음 날.
너구리,일상,2,"몸이 굵고 다리와 꼬리가 짧으며 몸은 누렇고 목, 가슴, 다리는 검은색을 띠는 야행성 포유류 동물."
넥타이,일상,1,주로 양복을 입을 때 와이셔츠 목의 둘레에 매는 가늘고 긴 천.
노동,경제,2,사람이 필요한 음식이나 물자를 얻기 위하여 육체적으로나 정신적으로 하는 일.
노동력,경제,3,일을 하는 데 쓰이는 사람의 정신적이고 육체적인 능력.
노동요,경제,3,즐겁고 능률적으로 일하기 위해 일하면서 부르는 노래.
노동자,경제,2,일을 하고 받은 돈으로 생활을 하는 사람.
노령연금,경제,2,노인들에게 지급하는 생활 보조금
노무자,경제,3,일을 하고 받은 돈으로 생활을 하는 사람.
노사,경제,3,노동자와 사용자. 돈을 받고 일을 하는 사람과 돈을 주고 일을 시키는 사람을 아울러 이르는 말.
노임,경제,3,노동에 대한 보수.
노잣돈,경제,3,먼 길을 오가는 데 드는 돈.
노점,경제,3,길이나 공터에 임시로 물건을 벌여 놓고 장사하는 곳.
노점상,경제,3,길이나 공터에 임시로 물건을 벌여 놓고 하는 장사. 또는 그런 장사를 하는 사람.
노트북,일상,2,가지고 다니면서 사용할 수 있도록 작고 가볍게 만든 개인용 컴퓨터.
녹음기,일상,2,소리를 그대로 기록하거나 기록한 소리를 다시 들을 수 있게 만든 기계.
놀이공원,일상,2,구경하거나 타고 놀 수 있도록 여러 가지 시설이나 놀이기구를 갖추어 놓은 장소.
농특세,경제,3,농어촌 발전을 위해 부과하는 세금
누진세,경제,3,세금을 매기는 대상의 수량이나 값이 늘어날수록 더 높은 비율로 매기는 세금.
눈싸움,일상,2,눈을 뭉쳐 서로 던져서 맞히는 놀이.
뉴런,과학,3,신경계를 구성하는 기본 세포
뉴스,일상,1,새 소식을 전해 주는 방송 프로그램.
뉴턴,과학,2,고전 역학의 기초를 다진 영국의 물리학자
다이어리,일상,2,"하루, 주, 월 단위로 일정이나 메모를 기록할 수 있도록 해 놓은 수첩."
다이어트,일상,1,건강이나 미용을 위해 음식의 종류와 양을 조절해서 먹는 일.
다이오드,과학,4,전류를 한쪽 방향으로만 흐르게 하는 부품
다재다능,고사성어,3,여러 방면에 재주가 많고 뛰어난 능력을 지녔다
단가,경제,3,물건 한 단위의 가격.
단골손님,경제,2,정해 놓고 자주 오는 손님.
단골집,경제,2,정해 놓고 자주 가는 가게.
단도직입,고사성어,3,머뭇거리지 않고 바로 본론으로 들어가는 말
단돈,경제,3,(강조하는 말로) 아주 적은 돈.
단발머리,일상,2,귀밑에서 어깨선 정도까지 오는 짧은 머리.
단백질,과학,3,생명체의 구성 성분인 아미노산 중합체
단열,과학,2,외부와의 열 교환을 차단하는 것
단풍,일상,1,가을에 나뭇잎이 노란 색이나 붉은 색으로 변하는 현상. 또는 그렇게 변한 잎.
달러,경제,2,미국의 돈.
달러인덱스,경제,4,미국 달러의 가치를 주요국 통화와 비교한 지표
달러화,경제,3,달러를 화폐 단위로 하는 돈.
달팽이,일상,2,나선형의 껍데기를 지고 다니며 머리에 두 더듬이와 눈이 있는 동물.
담보,경제,3,어떠한 일이 잘못될 때 그 잘못을 대신하기 위해 내놓는 것.
담보물,경제,3,빚을 진 사람이 빚을 갚지 않을 경우에 그 빚을 대신할 수 있는 것으로 내놓는 물건.
담요,일상,2,털 등으로 짜서 덮거나 깔도록 만든 얇은 이불.
답변,일상,2,질문에 대해 대답함. 또는 그런 대답.
답안,일상,2,문제의 해답. 또는 그 해답을 쓴 것.
당나귀,일상,2,"말과 비슷한 가축으로 말보다 크기가 작고 귀가 길며, 집에서 기르며 일을 시키기에 적당한 동물."
당뇨,과학,2,혈액 내 포도당 농도가 비정상적으로 높은 질환
당사,경제,3,이 회사.
당일치기,일상,2,일이 있는 바로 그날 하루에 일을 끝냄.
당좌,경제,3,은행에 돈을 맡긴 사람이 은행에 요구하면 언제든지 맡긴 돈을 받을 수 있는 것.
당첨금,경제,2,여럿 가운데 어느 하나를 골라잡는 추첨에서 뽑혀 받게 되는 돈.
대결산,경제,3,"상반기, 하반기가 끝날 때나 연말에 정리하는 의미에서 하는 결산."
대공황,경제,3,세계적으로 일어나는 큰 규모의 경제 공황.
대관료,경제,3,"경기장, 공연장, 극장, 미술관 등을 빌리는 대가로 내는 돈."
대금,경제,3,물건이나 일의 값으로 지불하는 돈.
대기만성,고사성어,3,큰 그릇은 늦게 이루어지듯 큰 인물은 나중에 성공한다
대기실,일상,2,때나 순서를 기다리는 사람들이 잠시 머물 수 있게 마련한 장소.
대기업,경제,2,"자본이나 직원의 수가 많은, 큰 규모의 기업."
대납,경제,3,돈을 남을 대신하여 냄.
대류,과학,2,열을 가진 물질이 직접 이동하며 열을 전달하는 방식
대리운전,일상,2,차의 주인이 운전할 수 없는 상태에 있을 때 비용을 받고 차의 주인을 대신하여 운전하는 것.
대리인,경제,3,다른 사람을 대신하는 사람.
대리자,경제,3,다른 사람을 대신하는 사람.
대리점,경제,3,특정한 상품을 맡아 파는 가게.
대목,경제,3,물건이 많이 팔리는 시기.
대박,경제,3,(비유적으로) 어떤 일이 크게 이루어짐.
대부,경제,3,이자와 기한을 정하고 돈을 빌려줌.
대부금,경제,3,이자와 기한을 정하고 빌려주는 돈.
대상,경제,3,장사를 크게 하는 상인.
대여,경제,3,물건이나 돈을 빌려줌.
대여료,경제,2,물건을 빌려 쓰기 위해 내는 돈.
대여점,경제,2,돈을 받고 물건을 빌려주는 가게.
대절,경제,3,돈을 내고 교통수단을 통째로 빌려 쓰는 일.
대주주,경제,3,한 회사의 주식을 많이 가지고 있는 주주.
대지,경제,3,"법으로 정한, 건물을 지을 수 있는 땅."
대차거래,경제,4,주식을 빌려주고 수수료를 받는 거래
대차대조표,경제,4,기업의 자산과 부채를 기록한 표
대출,경제,2,돈이나 물건을 빌려주거나 빌림.
대출금,경제,3,은행에서 빌려준 돈.
대통령,일상,2,"공화국 체제에서 국가를 대표하고 행정부 최고의 직위를 가진 사람, 또는 그 지위."
